"","datetime_in","mac_address_in","firmware_ver_in","hardware_in","current_temp_f_in","current_humidity_in","current_dewpoint_f_in","pressure_in","adc_in","mem_in","rssi_in","uptime_in","pm1_0_cf_1_in","pm2_5_cf_1_in","pm10_0_cf_1_in","pm1_0_atm_in","pm2_5_atm_in","pm10_0_atm_in","pm2.5_aqi_cf_1_in","pm2.5_aqi_atm_in","p_0_3_um_in","p_0_5_um_in","p_1_0_um_in","p_2_5_um_in","p_5_0_um_in","p_10_0_um_in","pm1_0_cf_1_b_in","pm2_5_cf_1_b_in","pm10_0_cf_1_b_in","pm1_0_atm_b_in","pm2_5_atm_b_in","pm10_0_atm_b_in","pm2.5_aqi_cf_1_b_in","pm2.5_aqi_atm_b_in","p_0_3_um_b_in","p_0_5_um_b_in","p_1_0_um_b_in","p_2_5_um_b_in","p_5_0_um_b_in","p_10_0_um_b_in","gas_in","dateNumbers_in","DT_year_in","DT_month_in","DT_day_in","DT_hr_in","daynight_idx_in","site_id_in","site_name_in","season_id_in","inout_id_in","R_pm2_5_in"
"1",2021-10-21 07:00:00,NA,6.01,NA,92.4666666666667,56,74.4666666666667,1006.83666666667,NA,36182.6666666667,0,2700.76666666667,24.289,37.9623333333333,43.7006666666667,22.284,34.4693333333333,43.2463333333333,107.166666666667,98.1333333333333,4107.61966666667,1243.69633333333,271.841666666667,24.3286666666667,4.48733333333333,1.70033333333333,26.8723333333333,35.9653333333333,39.8016666666667,23.591,33.2853333333333,39.7356666666667,101.9,95.6,4818.43433333333,1344.79433333333,203.242,16.2166666666667,2.61333333333333,1.34933333333333,NA,1634776191.33333,2021,10,21,6,0,17,"Tanima","monsoon","indoor",1.05552569140654
"2",2021-10-21 08:00:00,NA,6.01,NA,92.5666666666667,56.3,74.7,1008.18333333333,0.01,36132,0,2940.2,27.9743333333333,44.4326666666667,51.6056666666667,24.2773333333333,38.1133333333333,48.6513333333333,122.933333333333,107.4,4721.169,1431.48566666667,324.394,29.9313333333333,5.77066666666667,2.15933333333333,30.669,41.7266666666667,46.803,25.7463333333333,36.643,45.322,116.366666666667,103.566666666667,5365.404,1527.49633333333,245.302,20.3523333333333,3.61333333333333,1.786,NA,1634779793.43333,2021,10,21,7,1,17,"Tanima","monsoon","indoor",1.06485061511424
"3",2021-10-21 09:00:00,NA,6.01,NA,91.4,57.4666666666667,74.1666666666667,1008.981,NA,36179.4666666667,0,1899.43333333333,36.9376666666667,59.0766666666667,68.569,28.678,45.045,58.537,152.333333333333,124.633333333333,6098.90033333333,1861.49366666667,431.668,40.614,7.85266666666667,3.112,39.8543333333333,54.8493333333333,61.4953333333333,29.9646666666667,43.3263333333333,54.711,147,120.266666666667,6843.54,1958.155,326.190333333333,28,4.564,2.14833333333333,NA,1634783395.2,2021,10,21,8,1,17,"Tanima","monsoon","indoor",1.07707173590685
"4",2021-10-21 10:00:00,NA,6.01,NA,91.4,56.1666666666667,73.4333333333333,1009.302,NA,36182.6666666667,0,1939.06666666667,42.4666666666667,67.8486666666667,78.316,30.992,48.5123333333333,63.3026666666667,157.333333333333,133.1,6968.23733333333,2130.48333333333,497.929666666667,46.4193333333333,8.01033333333333,3.22466666666667,46.23,63.2793333333333,70.2596666666667,32.459,46.7273333333333,59.399,155.066666666667,128.533333333333,7860.84233333333,2258.93666666667,378.898666666667,30.293,4.198,2.106,NA,1634786996.56667,2021,10,21,9,1,17,"Tanima","monsoon","indoor",1.0722089360402
"5",2021-10-21 11:00:00,NA,6.01,NA,92,54.7666666666667,73.1,1009.12233333333,NA,36189.8666666667,0,2355.5,46.8743333333333,74.788,87.152,32.7573333333333,51.111,67.3013333333333,160.966666666667,139.433333333333,7642.23466666667,2340.18733333333,550.538333333333,52.6053333333333,9.76166666666667,4.03933333333333,50.8353333333333,69.7293333333333,76.6833333333333,34.1333333333333,49.3413333333333,62.654,158.366666666667,135.133333333333,8599.40733333333,2471.94233333333,415.848,32.0353333333333,4.32166666666667,2.034,NA,1634790598.56667,2021,10,21,10,1,17,"Tanima","monsoon","indoor",1.07254718243876
"6",2021-10-21 12:00:00,NA,6.01,NA,92.7333333333333,51.9333333333333,72.3333333333333,1008.51433333333,NA,36214.9333333333,0,1090.33333333333,44.8286666666667,71.155,82.0623333333333,31.962,49.7936666666667,65.0576666666667,159.066666666667,136.233333333333,7302.00966666667,2232.97533333333,518.982,48.0276666666667,8.368,3.27433333333333,48.727,66.5423333333333,72.945,33.359,48.0473333333333,60.8173333333333,156.666666666667,131.933333333333,8248.51133333333,2372.73533333333,395.28,28.714,4.03633333333333,1.84433333333333,NA,1634794200.13333,2021,10,21,11,1,17,"Tanima","monsoon","indoor",1.06931928045805
"7",2021-10-21 13:00:00,NA,6.01,NA,93,50.4333333333333,71.6666666666667,1007.443,NA,36189.0666666667,0,1666.8,44.529,70.477,81.0083333333333,31.89,49.6036666666667,64.598,158.7,135.733333333333,7230.68866666667,2211.90266666667,515.102333333333,46.0886666666667,8.44733333333333,2.98433333333333,48.3416666666667,65.94,71.9466666666667,33.2816666666667,47.827,60.4023333333333,156.3,131.366666666667,8195.45633333333,2352.03166666667,390.145333333333,27.4836666666667,3.83033333333333,1.92866666666667,NA,1634797800.43333,2021,10,21,12,1,17,"Tanima","monsoon","indoor",1.06880497421899
"8",2021-10-21 14:00:00,NA,6.01,NA,93.9,47.2333333333333,70.6,1006.71066666667,NA,36186.9333333333,0,2419.26666666667,41.487,65.1463333333333,74.218,30.674,47.543,61.432,155.966666666667,130.7,6731.20966666667,2059.784,471.59,40.8273333333333,6.923,2.89366666666667,44.776,60.66,65.673,31.8773333333333,45.663,56.971,153.633333333333,125.966666666667,7591.18266666667,2183.51366666667,358.400333333333,24.191,2.89466666666667,1.34633333333333,NA,1634801401.56667,2021,10,21,13,1,17,"Tanima","monsoon","indoor",1.07395867677767
"9",2021-10-21 15:00:00,NA,6.01,NA,93.9333333333333,44.1333333333333,68.7333333333333,1005.854,NA,36182.6666666667,0,1699.36666666667,41.7733333333333,65.225,73.9963333333333,30.7706666666667,47.5273333333333,61.325,156,130.533333333333,6766.088,2068.93866666667,470.883333333333,39.8323333333333,6.73766666666667,2.71166666666667,45.315,61.4233333333333,66.5073333333333,32.1696666666667,46.0566666666667,57.4746666666667,154.066666666667,127.033333333333,7683.90333333333,2209.68866666667,359.776666666667,24.1036666666667,2.719,1.33033333333333,NA,1634805003.5,2021,10,21,14,1,17,"Tanima","monsoon","indoor",1.06189287458621
"10",2021-10-21 16:00:00,NA,6.01,NA,93.8666666666667,43.8666666666667,68.5666666666667,1005.47633333333,NA,36201.8666666667,0,2659.8,46.8406666666667,73.7426666666667,84.8043333333333,32.7853333333333,50.762,66.315,160.433333333333,138.533333333333,7561.724,2316.50366666667,539.092666666667,48.707,8.363,3.223,50.8843333333333,69.288,75.29,34.1493333333333,49.1693333333333,61.987,158.133333333333,134.5,8559.041,2465.88266666667,410.6,29.148,3.28933333333333,1.49566666666667,NA,1634808605.73333,2021,10,21,15,1,17,"Tanima","monsoon","indoor",1.06429203710118
